,fr_mc.csv,fr_mc.csv,fr_rg.csv,fr_rg.csv,fr_simlex.csv,fr_simlex.csv,fr_ws353.csv,fr_ws353.csv,multi_simlex.csv,multi_simlex.csv,fr_all.csv,fr_all.csv
1950.txt,0.4814498275186516,26,0.6897292678017297,47,0.2102367188752067,753,0.44184253696905146,275,0.45321850758332893,1217,0.27078222026373,1714
1955.txt,0.45341084608645743,26,0.6935058174996619,47,0.23593987754995063,762,0.4821114775083016,280,0.4589300483076103,1252,0.29618943559116323,1756
1960.txt,0.4715336023779976,26,0.679942442113363,47,0.2465834885140507,776,0.46811910707593324,288,0.46205791636054927,1290,0.2942975404917702,1808
1965.txt,0.5605566559998522,24,0.6995256917676242,47,0.23376268783271778,768,0.4728194057288157,290,0.455160160591135,1258,0.29385782315512415,1777
1970.txt,0.5792563737717634,24,0.7078534686498082,43,0.22262265956641494,740,0.48527166940435024,294,0.43430999112909385,1223,0.30216312024688274,1733
1975.txt,0.4527071209432476,24,0.7249124707891341,42,0.23650402289807199,747,0.4231138288933105,292,0.445619274552184,1209,0.3037220952382451,1720
1980.txt,0.6438707565466059,26,0.7536470865408226,47,0.23297262090090914,776,0.4447296119525563,304,0.4347042625574901,1284,0.30133251647264636,1811
1985.txt,0.5456488803985265,27,0.6354826275441433,46,0.25307973717402393,785,0.4622746218668911,309,0.4223770553053484,1340,0.3076537785261659,1877
1990.txt,0.37221375780962723,27,0.6398695169025815,46,0.2505560971361753,803,0.4419713624268199,313,0.45392538239413804,1363,0.3208247331153607,1910
1995.txt,0.24511984934127576,23,0.6498828221802165,41,0.25456317421614794,759,0.46894899517712657,303,0.44118354829669965,1261,0.3238901730260883,1784
