,0,1,2,3,4,5,6,7
de,0.873,0.96,0.988,0.955,0.868,0.846,0.717,0.942
la,0.473,0.887,0.633,0.742,0.897,0.93,0.939,0.881
l,0.608,0.922,0.752,0.827,0.804,0.627,0.866,0.9
le,0.873,0.956,0.961,0.959,0.917,0.774,0.463,0.15
à,0.735,0.609,0.859,0.939,0.928,0.611,0.321,0.68
d,0.649,0.918,0.897,0.987,0.968,0.943,0.964,0.881
et,0.209,0.65,0.946,0.901,0.659,0.711,0.712,0.766
les,0.873,0.965,0.967,0.937,0.762,0.396,0.347,0.667
des,0.765,0.972,0.877,0.677,0.748,0.888,0.877,0.881
en,0.777,0.675,0.796,0.822,0.989,0.927,0.855,0.881
du,0.558,0.703,0.611,0.502,0.843,0.842,0.976,0.881
a,0.319,0.2,0.162,0.163,0.338,0.322,0.802,0.881
un,0.563,0.398,0.52,0.805,0.974,0.929,0.891,0.928
une,0.888,0.949,0.916,0.85,0.855,0.681,0.243,0.448
que,0.12,0.36,0.829,0.947,0.957,0.804,0.748,0.678
est,0.344,0.517,0.762,0.789,0.956,0.845,0.434,0.68
s,0.34,0.477,0.512,0.426,0.646,0.899,0.971,0.882
au,0.92,0.886,0.879,0.813,0.881,0.952,0.965,0.932
qui,0.765,0.998,0.999,0.992,0.904,0.893,0.862,0.679
dans,0.838,0.976,0.946,0.971,0.982,0.99,0.933,0.664
pour,0.873,0.953,0.953,0.993,0.987,0.948,0.74,0.49
il,0.646,0.691,0.459,0.848,0.738,0.518,0.315,0.448
par,0.873,0.972,0.987,0.996,0.973,0.817,0.737,0.45
n,0.113,0.123,0.26,0.679,0.896,0.74,0.731,0.881
sur,0.757,0.847,0.601,0.909,0.858,0.783,0.839,0.498
m,0.659,0.312,0.515,0.859,0.845,0.872,0.936,0.881
pas,0.762,0.8,0.891,0.941,0.816,0.403,0.408,0.667
qu,0.873,0.944,0.953,0.992,0.928,0.777,0.818,0.667
se,0.727,0.949,0.987,0.955,0.955,0.831,0.779,0.881
plus,0.31,0.406,0.166,0.127,0.005,0.002,0.01,0.023
ce,0.538,0.921,0.855,0.883,0.821,0.653,0.452,0.881
ne,0.503,0.72,0.963,0.922,0.931,0.842,0.974,0.791
c,0.224,0.455,0.315,0.367,0.687,0.87,0.989,0.881
e,0.211,0.831,0.682,0.653,0.79,0.852,0.906,0.942
avec,0.873,0.489,0.757,0.883,0.898,0.958,0.719,0.55
son,0.873,0.946,0.953,0.998,1.0,0.982,0.964,0.881
