,0,1,2,3,4,5,6,7
de,0.895,0.673,0.509,0.623,0.648,0.697,0.814,0.9
la,0.796,0.688,0.8,0.736,0.714,0.915,0.866,0.913
l,0.352,0.262,0.366,0.489,0.622,0.854,0.955,0.898
le,0.282,0.626,0.843,0.652,0.703,0.754,0.792,0.898
à,0.957,0.61,0.656,0.634,0.721,0.852,0.952,0.898
d,0.343,0.451,0.54,0.506,0.56,0.699,0.872,0.898
et,0.671,0.48,0.38,0.514,0.561,0.672,0.787,0.904
les,0.947,0.755,0.661,0.761,0.776,0.783,0.817,0.898
des,0.9,0.926,0.767,0.89,0.722,0.762,0.814,0.898
en,0.572,0.605,0.406,0.652,0.633,0.783,0.814,0.898
du,0.359,0.351,0.566,0.872,0.864,0.77,0.855,0.969
a,0.446,0.294,0.357,0.457,0.564,0.699,0.81,0.907
un,0.227,0.352,0.417,0.462,0.565,0.681,0.851,0.898
une,0.796,0.46,0.512,0.641,0.685,0.909,0.952,0.916
que,0.236,0.475,0.8,0.941,0.938,0.849,0.931,0.898
est,0.786,0.646,0.93,0.837,0.699,0.84,0.899,0.904
s,0.786,0.417,0.709,0.793,0.876,0.952,0.955,0.978
au,0.123,0.391,0.739,0.803,0.843,0.95,0.952,0.898
qui,0.349,0.56,0.728,0.962,0.853,0.855,0.966,0.898
dans,0.671,0.686,0.599,0.527,0.613,0.672,0.789,0.898
pour,0.123,0.266,0.344,0.447,0.592,0.703,0.793,0.976
il,0.465,0.717,0.607,0.704,0.698,0.941,0.86,0.898
par,0.902,0.639,0.871,0.881,0.704,0.733,0.876,0.898
n,0.601,0.49,0.694,0.929,0.901,0.925,0.989,0.898
sur,0.232,0.474,0.57,0.669,0.927,0.844,0.948,0.898
m,0.455,0.345,0.358,0.545,0.688,0.746,0.879,0.898
pas,0.3,0.239,0.357,0.534,0.63,0.68,0.843,0.898
qu,0.566,0.93,0.977,0.963,0.942,0.851,0.853,0.898
se,0.797,0.654,0.601,0.634,0.901,0.913,0.872,0.898
plus,0.567,0.38,0.386,0.538,0.567,0.671,0.82,0.943
ce,0.123,0.444,0.447,0.758,0.776,0.934,0.89,0.984
ne,0.233,0.248,0.356,0.46,0.571,0.672,0.82,0.898
c,0.786,0.564,0.394,0.515,0.654,0.822,0.926,0.898
e,0.155,0.553,0.69,0.545,0.629,0.758,0.899,0.966
avec,0.954,0.834,0.824,0.919,0.824,0.763,0.814,0.898
son,0.349,0.526,0.56,0.837,0.757,0.874,0.976,0.898
ont,0.672,0.407,0.41,0.486,0.566,0.746,0.875,0.935
on,0.238,0.545,0.758,0.873,0.94,0.976,0.981,0.898
p,0.463,0.392,0.69,0.809,0.645,0.845,0.867,0.898
aux,0.895,0.786,0.729,0.831,0.653,0.706,0.858,0.898
sont,0.671,0.519,0.493,0.548,0.561,0.673,0.793,0.969
été,0.342,0.265,0.529,0.666,0.706,0.694,0.788,0.898
cette,0.123,0.236,0.366,0.482,0.557,0.672,0.787,0.898
h,0.232,0.346,0.381,0.573,0.738,0.715,0.865,0.907
